Age,IQ,CGPA,Years_of_Experience,Package_LPA
59,128,9.53,0,16.72
49,103,6.08,0,11.47
35,105,9.48,12,39.72
28,134,7.77,1,15.34
41,86,5.91,14,38.51
59,157,6.6,8,29.22
39,120,9.15,11,38.39
43,81,9.76,9,34.2
31,109,9.38,13,41.25
31,99,9.36,8,31.54
44,135,5.02,3,15.61
56,153,7.24,14,41.16
44,103,9.19,5,26.02
23,91,5.18,7,23.89
42,94,8.47,12,39.13
22,152,7.51,0,13.18
44,127,8.95,1,17.1
50,140,6.3,2,16.35
58,150,9.41,13,42.46
22,107,6.48,12,34.44
41,82,9.76,2,20.97
53,95,8.2,9,31.9
32,115,5.98,6,23.22
42,83,8.88,13,40.79
45,88,7.67,8,28.66
47,91,7.04,5,22.02
48,153,7.36,14,39.76
36,123,7.0,14,39.82
35,145,8.54,6,27.3
23,98,6.29,8,26.71
57,92,7.56,9,31.43
27,134,8.78,1,17.44
41,144,5.72,6,23.5
29,149,6.46,4,20.31
59,82,6.07,1,13.61
38,104,7.86,9,30.99
24,131,7.06,8,27.63
45,95,6.62,4,18.87
34,122,6.79,13,38.16
29,135,7.35,0,13.47
46,147,7.09,4,21.09
22,87,8.53,2,18.22
40,159,8.46,10,35.98
48,123,5.13,6,22.11
27,117,8.55,3,20.31
28,102,6.11,1,11.74
55,85,7.1,13,39.23
34,122,6.11,0,10.96
37,123,5.59,12,34.63
56,159,7.92,11,35.64
24,159,9.75,2,21.02
22,102,6.86,11,33.7
26,95,8.39,8,29.03
24,155,7.27,3,18.32
49,88,5.91,11,32.27
38,88,9.6,10,35.64
46,137,7.25,13,38.55
54,144,5.04,3,15.98
30,138,7.28,3,19.24
56,102,5.03,4,17.94
34,148,8.97,14,43.43
51,98,6.84,10,32.6
35,114,8.07,0,15.31
28,134,8.83,9,33.23
34,119,5.14,0,8.96
43,93,7.59,10,33.2
41,92,8.19,3,20.09
36,132,7.36,10,32.31
38,159,6.53,9,30.44
44,118,7.32,13,38.79
46,144,6.97,6,25.31
45,135,8.06,9,32.31
49,119,7.35,14,41.16
35,125,5.65,14,38.93
21,156,5.42,2,13.82
45,86,5.82,14,37.87
27,124,5.33,11,31.75
29,101,6.27,7,24.19
44,86,5.35,1,11.32
21,131,8.02,6,26.31
28,147,7.22,0,12.58
44,149,6.28,14,39.93
31,146,5.06,10,28.48
37,82,5.73,10,30.5
28,137,8.33,8,29.99
55,146,6.25,6,23.63
55,133,6.66,5,22.89
