Dish Name,Link,Time
Rajasthani Lehsun Ka Halwa (Garlic Halwa),https://food.ndtv.com/recipe-rajasthani-lehsun-ka-halwa-garlic-halwa-958684,
Zero-Oil Ghugni,https://food.ndtv.com/recipe-zero-oil-ghugni-958667,
Malai Gulab Ki Kheer,https://food.ndtv.com/recipe-malai-gulab-ki-kheer-958655,
Gucchi Pecan Nut Pulao,https://food.ndtv.com/recipe-gucchi-pecan-nut-pulao-958640,
Tadka Pecan Raita,https://food.ndtv.com/recipe-tadka-pecan-raita-958639,
Pecan Ladoo,https://food.ndtv.com/recipe-pecan-ladoo-958638,
Chickoo Pecan Kulfi,https://food.ndtv.com/recipe-chickoo-pecan-kulfi-958624,
Healthy Fresh Fruits Ladoo,https://food.ndtv.com/recipe-healthy-fresh-fruits-ladoo-958620,
Almond And Amaranth Ladoos,https://food.ndtv.com/recipe-almond-and-amaranth-ladoos-958611,
Almond And Makhana Kheer,https://food.ndtv.com/recipe-almond-and-makhana-kheer-958607,
One Pot Chhole Chawal,https://food.ndtv.com/recipe-one-pot-chhole-chawal-958605,
Millet Kheer,https://food.ndtv.com/recipe-millet-kheer-958604,
Khaman Dhokla,https://food.ndtv.com/recipe-khaman-dhokla-958603,
Ennai Kathrikai Kulambu,https://food.ndtv.com/recipe-ennai-kathrikai-kulambu-958601,
Beetroot Kofta Curry,https://food.ndtv.com/recipe-beetroot-kofta-curry-958599,
Konkani Fried Chicken,https://food.ndtv.com/recipe-konkani-fried-chicken-958592,
Mango Kiwi Chutney,https://food.ndtv.com/recipe-mango-kiwi-chutney-958590,
Nalli Gosht Biryani,https://food.ndtv.com/recipe-nalli-gosht-biryani-958575,
Hyderabadi Pasinday,https://food.ndtv.com/recipe-hyderabadi-pasinday-958510,
Rajgira Chikki,https://food.ndtv.com/recipe-rajgira-chikki-958478,
Lasooni Dahi Tadka,https://food.ndtv.com/recipe-lasooni-dahi-tadka-958474,
Beetroot Idli Fry,https://food.ndtv.com/recipe-beetroot-idli-fry-958470,
Himachali Chicken Curry,https://food.ndtv.com/recipe-himachali-chicken-curry-958469,
Coconut Rabri,https://food.ndtv.com/recipe-coconut-rabri-958465,
Gongura Chicken Curry,https://food.ndtv.com/recipe-gongura-chicken-curry-958462,
Shaljam Gosht,https://food.ndtv.com/recipe-shaljam-gosht-958461,
Tomato Pachadi,https://food.ndtv.com/recipe-tomato-pachadi-958459,
Vendakkai Thenga Curry,https://food.ndtv.com/recipe-vendakkai-thenga-curry-958454,
Chickpeas Tikka Masala,https://food.ndtv.com/recipe-chickpeas-tikka-masala-958453,
Stuffed Palak Idli,https://food.ndtv.com/recipe-stuffed-palak-idli-958440,
Haryanvi Kadhi,https://food.ndtv.com/recipe-haryanvi-kadhi-958438,
Amritsari Sookhi Dal,https://food.ndtv.com/recipe-amritsari-sookhi-dal-958430,
Low Calorie Teen Ratna Dal,https://food.ndtv.com/recipe-low-calorie-teen-ratna-dal-958420,
